"","choice","income","price","text"
"1","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"2","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"3","colgate",70000,2," I purchased Colgate whitening toothpaste with fluoride for $2."
"4","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, price $2."
"5","colgate",70000,2,"
I purchased the Colgate whitening toothpaste with fluoride."
"6","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"7","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"8","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, price $2."
"9","colgate",70000,2," I purchased Colgate whitening toothpaste with fluoride for $2."
"10","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"11","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"12","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"13","colgate",70000,2,"
I purchased the Colgate whitening toothpaste with fluoride."
"14","colgate",70000,2,"
I purchased the Colgate whitening toothpaste with fluoride for $2."
"15","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"16","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"17","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"18","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"19","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"20","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"21","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, at the price of $2."
"22","colgate",70000,2," I purchased the Colgate Whitening Toothpaste with Fluoride at the price of $2."
"23","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"24","colgate",70000,2,"
I purchased the Colgate whitening toothpaste with fluoride for $2."
"25","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"26","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"27","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, price $2."
"28","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, price $2."
"29","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, price $2."
"30","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"31","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"32","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"33","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"34","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"35","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"36","colgate",70000,2," The Colgate whitening toothpaste with fluoride."
"37","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"38","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride at a price of $2."
"39","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"40","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, which was priced at $2."
"41","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"42","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, for $2."
"43","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"44","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"45","colgate",70000,2," I purchased the Colgate Whitening Toothpaste With Fluoride."
"46","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"47","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride."
"48","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, for $2."
"49","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride for $2."
"50","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, for $2."
"51","colgate",70000,2," I purchased the Colgate whitening toothpaste with fluoride, for $2."
